LapNumber,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf
24.0,24.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.673,44.6869999999999,31.688000000000102,73.74200000000019,1,0.0,0.0,0.0,0.0,0.0,0.0,3251.014,16,2,0
25.0,25.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.488,45.57400000000007,32.88099999999986,75.346,1,0.0,0.0,0.0,0.0,0.0,0.0,3341.502,16,2,0
26.0,26.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.111,46.524999999999636,33.858999999999924,76.78200000000015,1,0.0,0.0,0.0,0.0,0.0,0.0,3431.613,16,2,0
27.0,27.0,4.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,89.863,47.13799999999992,34.684999999999945,78.32699999999977,1,0.0,0.0,0.0,0.0,0.0,0.0,3521.476,16,2,0
28.0,28.0,4.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.696,47.73700000000008,35.75199999999995,79.35600000000022,1,0.0,0.0,0.0,0.0,0.0,0.0,10.785,16,2,0
29.0,29.0,4.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.488,48.86799999999994,37.05199999999968,80.80300000000034,1,0.0,0.0,0.0,0.0,0.0,0.0,100.273,16,2,0
30.0,30.0,4.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.789,50.625,38.51000000000022,81.86700000000019,1,0.0,0.0,0.0,0.0,0.0,0.0,190.062,16,2,0
31.0,31.0,4.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.041,51.971000000000004,39.63499999999976,83.90300000000025,1,0.0,0.0,0.0,0.0,0.0,0.0,279.103,16,2,0
32.0,32.0,4.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.361,53.53200000000015,39.61700000000019,85.19900000000007,1,0.0,0.0,0.0,0.0,0.0,0.0,368.464,16,2,0
52.0,52.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,94.334,91.15599999999995,91.15599999999995,95.88300000000072,1,0.0,0.0,0.0,0.0,0.0,0.0,2736.627,16,2,0
53.0,53.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,91.177,90.52400000000034,90.52400000000034,96.26400000000012,1,0.0,0.0,0.0,0.0,0.0,0.0,2827.804,16,2,0
54.0,54.0,4.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.41,88.42699999999968,88.42699999999968,96.64800000000014,1,0.0,0.0,0.0,0.0,0.0,0.0,2918.214,16,2,0
55.0,55.0,4.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.076,88.45200000000023,88.45200000000023,96.95899999999983,1,0.0,0.0,0.0,0.0,0.0,0.0,3008.29,16,2,0
56.0,56.0,4.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.454,89.34699999999975,89.34699999999975,97.82800000000043,1,0.0,0.0,0.0,0.0,0.0,0.0,3097.744,16,2,0
57.0,57.0,4.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.117,88.94700000000012,88.94700000000012,99.66799999999967,1,0.0,0.0,0.0,0.0,0.0,0.0,3186.861,16,2,0
37.0,1.0,14.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,3.0,0.0,0.0,114.242,58.027000000000044,4.2400000000002365,2.2399999999997817,1,0.0,,0.0,,,,3584.226,5,3,0
38.0,2.0,14.0,26.8,21.0,1010.2,0,32.7,256,1.2,Shanghai,5.451,56,3.0,0.0,0.0,96.567,58.06700000000001,3.443000000000211,2.3980000000001382,1,0.0,,0.0,,,,80.424,5,3,0
39.0,3.0,13.0,26.8,21.0,1010.2,0,32.7,256,1.2,Shanghai,5.451,56,3.0,0.0,0.0,96.044,57.91100000000006,2.306999999999789,2.8530000000000655,1,0.0,,0.0,,,,176.468,5,3,0
37.0,20.0,12.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,2.0,0.0,0.0,97.803,53.78699999999981,45.684999999999945,4.2400000000002365,1,0.0,,0.0,,,,3579.986,14,6,0
38.0,21.0,12.0,26.8,21.0,1010.2,0,32.7,256,1.2,Shanghai,5.451,56,2.0,0.0,0.0,97.364,54.623999999999796,46.46799999999985,3.443000000000211,1,0.0,,0.0,,,,76.981,14,6,0
39.0,22.0,12.0,26.8,21.0,1010.2,0,32.7,256,1.2,Shanghai,5.451,56,2.0,0.0,0.0,97.18,55.60400000000027,47.100000000000364,2.306999999999789,1,0.0,,0.0,,,,174.161,14,6,0
7.0,7.0,3.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,3.0,0.0,0.0,98.464,3.0030000000000427,3.0030000000000427,14.220000000000027,1,0.0,,0.0,,,,585.89,16,2,0
8.0,8.0,3.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,3.0,0.0,0.0,98.715,3.5249999999999773,3.5249999999999773,15.052999999999997,1,0.0,,0.0,,,,684.605,16,2,0
9.0,9.0,3.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,3.0,0.0,0.0,98.557,3.883000000000038,3.883000000000038,15.732999999999947,1,0.0,,0.0,,,,783.162,16,2,0
10.0,10.0,3.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,3.0,0.0,0.0,98.438,4.326999999999998,4.326999999999998,16.519999999999982,1,0.0,,0.0,,,,881.6,16,2,0
11.0,11.0,3.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,3.0,0.0,0.0,98.375,4.5779999999999745,4.5779999999999745,17.202000000000226,1,0.0,,0.0,,,,979.975,16,2,0
12.0,12.0,3.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,3.0,0.0,0.0,98.391,4.8559999999999945,4.8559999999999945,18.45399999999995,1,0.0,,0.0,,,,1078.366,16,2,0
13.0,13.0,3.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,3.0,0.0,0.0,98.211,5.11200000000008,5.11200000000008,19.519000000000005,1,0.0,,0.0,,,,1176.577,16,2,0
17.0,3.0,3.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,2.0,0.0,0.0,97.85,2.6019999999998618,2.6019999999998618,10.264000000000124,1,0.0,,0.0,,,,1588.521,16,2,0
18.0,4.0,4.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,2.0,0.0,0.0,98.865,4.296000000000049,4.296000000000049,27.774000000000115,1,0.0,,0.0,,,,1687.386,16,2,0
19.0,5.0,4.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,2.0,0.0,0.0,97.929,5.014000000000124,5.014000000000124,27.769000000000005,1,0.0,,0.0,,,,1785.315,16,2,0
20.0,6.0,3.0,27.3,18.0,1010.4,0,35.6,264,2.2,Shanghai,5.451,56,2.0,0.0,0.0,98.472,6.0779999999999745,6.0779999999999745,28.036000000000058,1,0.0,,0.0,,,,1883.787,16,2,0
