LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,PitDuration,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf
48.0,168.0,192.0,48.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,122.406,0.0,5.899999999999636,-46.77800000000025,,0,0.0,0.0,0.0,0.0,1.0,0.0,2220.728,0,0,0
49.0,249.0,181.0,49.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,144.892,0.0,50.35199999999986,-44.44999999999982,,0,0.0,0.0,0.0,0.0,1.0,0.0,2365.62,0,0,0
50.0,252.0,127.0,50.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,142.085,0.0,68.70499999999993,-42.46600000000035,,0,0.0,0.0,0.0,0.0,1.0,0.0,2507.705,0,0,0
51.0,285.0,135.0,51.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,133.879,0.0,78.30899999999929,-35.642000000000735,,0,0.0,0.0,0.0,0.0,0.0,1.0,2641.584,0,0,0
52.0,286.0,244.0,52.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,93.864,0.0,74.94900000000052,-39.586999999999534,,1,0.0,0.0,0.0,0.0,0.0,0.0,2735.448,0,0,0
53.0,286.0,273.0,53.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.859,0.0,73.9989999999998,-43.564000000000306,,1,0.0,0.0,0.0,0.0,0.0,0.0,2826.307,0,0,0
54.0,287.0,273.0,54.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.1,0.0,70.59199999999964,-46.827000000000226,,1,0.0,0.0,0.0,0.0,0.0,0.0,2915.407,0,0,0
55.0,299.0,284.0,55.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.538,0.0,69.07899999999972,-50.18000000000029,,1,0.0,0.0,0.0,0.0,0.0,0.0,3003.945,0,0,0
56.0,300.0,280.0,56.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,87.921,0.0,68.4409999999998,-53.78300000000036,,1,0.0,0.0,0.0,0.0,0.0,0.0,3091.866,0,0,0
57.0,287.0,293.0,57.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,87.4,0.0,66.32400000000052,-57.89399999999932,,1,0.0,0.0,0.0,0.0,0.0,0.0,3179.266,0,0,0
1.0,182.0,186.0,1.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,134.132,0.0,45.015,45.015,-37.87700000000001,0,0.0,1.0,0.0,0.0,0.0,0.0,786.632,1,1,0
5.0,198.0,204.0,5.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,141.36,0.0,65.84400000000005,-36.67999999999995,-4.583999999999946,0,0.0,0.0,0.0,0.0,1.0,0.0,1416.779,1,1,0
6.0,217.0,222.0,6.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,139.952,0.0,65.37300000000005,-37.70399999999995,-4.118000000000052,0,0.0,0.0,0.0,0.0,1.0,0.0,1556.731,1,1,0
7.0,275.0,223.0,7.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,126.733,0.0,54.99800000000005,-34.437999999999874,-3.3530000000000655,0,0.0,0.0,0.0,0.0,0.0,1.0,1683.464,1,1,0
8.0,277.0,232.0,8.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,98.441,0.0,57.16100000000006,-36.261999999999716,-3.4830000000001746,1,0.0,0.0,0.0,0.0,0.0,0.0,1781.905,1,1,0
