LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,PitDuration,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf,mode,predicted_base_pace,delta
17.0,280.0,270.0,17.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.795,0.0,78.50700000000006,-43.99499999999989,-4.865000000000009,1,0.0,0.0,0.0,0.0,0.0,0.0,2626.541,1,1,0,2,94.56925927183579,-1.7742592718357884
18.0,275.0,269.0,18.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.124,0.0,81.48500000000013,-44.76299999999992,-5.11200000000008,1,0.0,0.0,0.0,0.0,0.0,0.0,2719.665,1,1,0,2,94.58632859283655,-1.4623285928365561
19.0,280.0,268.0,19.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.462,0.0,83.39599999999996,-46.20699999999988,-4.659999999999855,1,0.0,0.0,0.0,0.0,0.0,0.0,2812.127,1,1,0,2,94.25181732344161,-1.7898173234416106
20.0,276.0,275.0,20.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.327,0.0,85.01299999999992,-47.20799999999963,-4.6460000000001855,1,0.0,0.0,0.0,0.0,0.0,0.0,2904.454,1,1,0,2,94.12911784493039,-1.8021178449303932
21.0,280.0,269.0,21.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.323,0.0,87.10199999999986,-48.23500000000013,-4.889999999999873,1,0.0,0.0,0.0,0.0,0.0,0.0,2996.777,1,1,0,2,94.02412219243766,-1.7011221924376656
22.0,281.0,280.0,22.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.355,0.0,89.15700000000015,-48.61400000000003,-5.203999999999724,1,0.0,0.0,0.0,0.0,0.0,0.0,3089.132,1,1,0,2,94.01982047920922,-1.6648204792092116
23.0,280.0,272.0,23.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.438,0.0,91.67300000000024,-49.14199999999983,-5.871000000000095,1,0.0,0.0,0.0,0.0,0.0,0.0,3181.57,1,1,0,2,93.92378922610685,-1.4857892261068457
24.0,281.0,272.0,24.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.035,0.0,94.02099999999972,-49.47600000000011,-6.054000000000087,1,0.0,0.0,0.0,0.0,0.0,0.0,3273.605,1,1,0,2,93.58590164794738,-1.5509016479473843
25.0,281.0,275.0,25.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.622,0.0,96.04200000000036,-50.08899999999949,-6.816000000000258,1,0.0,0.0,0.0,0.0,0.0,0.0,3365.227,1,1,0,2,93.57050524448053,-1.948505244480529
26.0,281.0,282.0,26.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.928,0.0,97.80999999999996,-50.585999999999785,-6.442000000000007,1,0.0,0.0,0.0,0.0,0.0,0.0,3456.155,1,1,0,2,93.62823134693281,-2.70023134693281
27.0,281.0,279.0,27.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.635,0.0,99.19499999999972,-51.35699999999997,-6.321999999999662,1,0.0,0.0,0.0,0.0,0.0,0.0,3546.79,1,1,0,2,93.2436938185828,-2.6086938185827933
28.0,282.0,277.0,28.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.382,0.0,100.48000000000002,-51.73000000000002,-6.560999999999694,1,0.0,0.0,0.0,0.0,0.0,0.0,36.785,1,1,0,2,92.64876436611225,-2.266764366112241
29.0,278.0,284.0,29.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.051,0.0,102.17399999999998,-53.008000000000266,-6.484999999999673,1,0.0,0.0,0.0,0.0,0.0,0.0,126.836,1,1,0,2,92.5872033992835,-2.536203399283494
