LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,PitDuration,Driver_idx,Team_idx,dnf
39.0,229.0,258.0,6.0,13.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,131.226,172.86099999999988,0.6959999999999127,1.5670000000000073,0,0.0,0.0,0.0,0.0,1.0,0.0,1256.962,0,1,1,0
40.0,249.0,262.0,7.0,11.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,130.476,170.28499999999985,-0.23500000000012733,0.706000000000131,0,0.0,0.0,0.0,0.0,1.0,0.0,1387.438,0,1,1,0
41.0,287.0,201.0,8.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,126.368,164.6489999999999,-0.47400000000016007,0.5579999999999927,0,0.0,0.0,0.0,0.0,0.0,1.0,1513.806,0,1,1,0
42.0,289.0,284.0,9.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,87.942,167.2739999999999,-0.03999999999996362,0.12100000000009459,1,0.0,0.0,0.0,0.0,0.0,0.0,1601.748,0,1,1,0
43.0,292.0,294.0,10.0,12.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,85.02,169.21300000000065,0.7620000000006257,0.001999999999497959,1,0.0,0.0,0.0,0.0,0.0,0.0,1686.768,0,1,1,0
44.0,290.0,296.0,11.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,88.332,170.75599999999986,-0.3600000000005821,9.04700000000048,0,1.0,0.0,0.0,0.0,0.0,0.0,1775.1,0,1,1,0
45.0,281.0,287.0,12.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,92.969,250.49599999999964,-2.4549999999999272,7.346999999999753,0,0.0,0.0,1.0,0.0,0.0,0.0,1868.069,0,1,1,0
48.0,180.0,185.0,48.0,14.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,121.785,281.4849999999997,3.1599999999998545,-148.22500000000036,0,0.0,0.0,0.0,0.0,1.0,0.0,2232.663,0,1,1,0
49.0,231.0,204.0,49.0,14.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,144.669,325.71399999999994,3.024999999999636,-148.3189999999995,0,0.0,0.0,0.0,0.0,1.0,0.0,2377.332,0,1,1,0
50.0,263.0,223.0,50.0,14.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,137.754,339.7359999999999,1.3350000000000364,-148.97800000000007,0,0.0,0.0,0.0,0.0,1.0,0.0,2515.086,0,1,1,0
51.0,285.0,138.0,51.0,13.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,131.745,347.2059999999992,0.36299999999937427,-149.41199999999935,0,0.0,0.0,0.0,0.0,0.0,1.0,2646.831,0,1,1,0
52.0,287.0,233.0,52.0,14.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,96.326,346.308,0.7539999999999054,-148.33299999999963,1,0.0,0.0,0.0,0.0,0.0,0.0,2743.157,0,1,1,0
53.0,280.0,258.0,53.0,14.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,92.297,346.7960000000003,1.2359999999998763,-147.89900000000034,1,0.0,0.0,0.0,0.0,0.0,0.0,2835.454,0,1,1,0
54.0,286.0,277.0,54.0,14.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,94.967,349.2559999999994,151.64699999999993,-349.2559999999994,1,0.0,0.0,0.0,0.0,0.0,0.0,2930.421,0,1,1,0
55.0,286.0,269.0,55.0,14.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,92.316,351.52099999999973,351.52099999999973,-148.32999999999993,1,0.0,0.0,0.0,0.0,0.0,0.0,3022.737,0,1,1,0
