Unnamed: 0.1,Unnamed: 0,Time_x,LapNumber,PitOutTime,PitInTime,SpeedFL,SpeedST,TyreLife,LapStartTime,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeStamp_y,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_2,status_4,status_6,status_12,status_14,status_16,status_21,status_24,status_26,status_41,status_67,status_71,status_124,status_126,status_167,status_671,status_712,status_6712,Driver_idx,Team_idx,TimeSinceLastWeatherMeasurement
241,241,0 days 02:18:48.033000,38.0,NO_PIT,NO_PIT,222.0,241.0,4.0,0 days 02:16:28.558000,4,5.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,139.475,81.13400000000001,63.73700000000008,6.994000000000142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0 days 00:18:39.550000
242,242,0 days 02:20:59.756000,39.0,NO_PIT,NO_PIT,227.0,251.0,5.0,0 days 02:18:48.033000,4,5.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,131.723,80.14300000000048,61.68000000000029,7.250999999999294,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0 days 00:20:51.273000
243,243,0 days 02:23:11.741000,40.0,NO_PIT,NO_PIT,230.0,225.0,6.0,0 days 02:20:59.756000,4,5.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,131.985,80.63000000000011,60.64900000000034,7.095000000000255,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0 days 00:23:03.258000
251,251,0 days 02:37:25.259000,48.0,0 days 02:35:31.368000,NO_PIT,239.0,208.0,48.0,0 days 02:35:29.215000,4,5.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,0.0,0.0,1.0,116.044,41.70499999999993,17.954999999999927,10.042999999999664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0 days 00:37:16.776000
252,252,0 days 02:39:48.036000,49.0,NO_PIT,NO_PIT,237.0,168.0,49.0,0 days 02:37:25.259000,4,5.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,0.0,0.0,1.0,142.777,84.04200000000037,15.753000000000611,10.759999999999309,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0 days 00:39:39.553000
253,253,0 days 02:42:07.818000,50.0,NO_PIT,NO_PIT,259.0,188.0,50.0,0 days 02:39:48.036000,4,5.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,0.0,0.0,1.0,139.782,100.09200000000055,13.140000000000327,9.153999999999542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0 days 00:41:59.335000
265,265,0 days 01:23:48.776000,5.0,0 days 01:21:31.574000,NO_PIT,144.0,166.0,5.0,0 days 01:21:28.367000,4,11.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,140.409,86.30500000000006,7.456000000000017,5.592999999999961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0 days 00:23:40.680000
266,266,0 days 01:26:09.749000,6.0,NO_PIT,NO_PIT,200.0,199.0,6.0,0 days 01:23:48.776000,4,11.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,140.973,86.85500000000013,8.93600000000015,5.730999999999881,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0 days 00:26:01.653000
294,294,0 days 02:11:06.602000,34.0,0 days 02:09:03.663000,NO_PIT,276.0,162.0,1.0,0 days 02:09:01.609000,4,10.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,124.993,176.7220000000002,22.688000000000105,3.563999999999851,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0 days 00:10:58.119000
295,295,0 days 02:12:52.064000,35.0,NO_PIT,NO_PIT,283.0,219.0,2.0,0 days 02:11:06.602000,4,10.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,105.462,158.73600000000033,22.619000000000145,2.7719999999999345,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0 days 00:12:43.581000
